Neighborhood	Code	Description
0.02	1801	TEST CONDO NBHD                                                                                                         
0.5	1089	VALUATION TEST NBHD                                                                                                     
1	4026	"SETTLERS VILLAGE 1,1R/P  & 2                                                                                            "
1.01	4025	"SETTLERS VILLAGE SEC. 3, 3R/P, 5 ,& 5 R/P                                                                               "
1.04	4160	VILLAGES ON GRANT                                                                                                       
1.05	4025	"LAKEVILLE SEC 1,2,4,5,6,7                                                                                               "
1.06	4160	"GRANT MEADOWS SEC 1,3                                                                                                   "
1.07	4160	"GRANT MEADOWS SEC 2, 4                                                                                                  "
1.08	4160	GRANT MEADOWS SEC 5                                                                                                     
2	4026	"HIGHLAND CREEK VLG SEC. 1,3                                                                                             "
2.01	4025	STRATHMORE SEC. 1                                                                                                       
2.02	4053	HIGHLAND CREEK 2                                                                                                        
2.05	4053	ESTATES OF HIGHLAND CREEK 2-4                                                                                           
2.06	4053	"CROSS CREEK SEC 1,2                                                                                                     "
2.07	4053	HIGHLAND CREEK RANCH SEC 2                                                                                              
2.08	4157	"CANYON VILL AT CYPRESS SPRS 1,2,6                                                                                       "
2.09	4025	STRATHMORE PARK                                                                                                         
2.11	4025	STRATHMORE SEC 2                                                                                                        
2.12	4157	"CANYON VILL AT CYPRESS SPRS 4,9,10                                                                                      "
2.13	4025	STRATHMORE SEC 3                                                                                                        
3	4135	MIXED RESIDENTIAL                                                                                                       
3.01	4053	"HIGHLAND CREEK RANCH 1,3, PT 4 & 5 SMALL LOTS                                                                           "
3.02	4157	"CANYON VILLAGE AT CYPRESS SPRINGS SEC 5,7,8                                                                             "
3.04	4053	HIGHLAND CREEK RANCH SEC 4                                                                                              
3.06	4053	HIGHLAND CREEK RANCH PT 5 & 6                                                                                           
3.07	4136	CYPRESS MIXED RESIDENTIAL                                                                                               
4	4152	PADDOCK                                                                                                                 
4.01	4164	MIRABELLA SEC 1 AMEND                                                                                                   
4.02	4164	"MIRABELLA SEC 4, 6, 11 PT SEC 10                                                                                        "
4.03	4164	MIRABELLA SEC 7                                                                                                         
4.04	4164	"MIRABELLA PT SEC 2, 3, 9 PT SEC 10                                                                                      "
4.05	4164	"MIRABELLA PT SEC 2, 8                                                                                                   "
4.1	4164	MIRABELLA SEC 5                                                                                                         
5	4152	LANCASTER SEC 1                                                                                                         
5.01	4153	LANCASTER SEC 2                                                                                                         
5.02	4153	AMHURST SEC 2                                                                                                           
5.03	4153	"TEALBROOK SEC 1,PAR R/P,R/P                                                                                             "
5.04	4153	CYPRESS SPRINGS SEC 5  YB>09                                                                                            
5.06	4153	CYPRESS SPRINGS SEC 1                                                                                                   
5.07	4153	"TEALBROOK SEC 2,3                                                                                                       "
5.08	4153	"OAK LANDING SEC 1,2                                                                                                     "
5.09	4153	CYPRESS SPRING SEC 6                                                                                                    
5.1	4153	CYPRESS SPRINGS SOUTH SEC 2 AMEND & MTN. SPRINGS                                                                        
6	4086	WESTGATE SEC 1-4                                                                                                        
6.01	4086	"WESTGATE SEC 5,6,7                                                                                                      "
6.03	4086	"WESTGATE SEC 8,10,12                                                                                                    "
6.04	4086	"WESTGATE SEC 11,14                                                                                                      "
6.05	4086	"WESTGATE SEC 13,16,17                                                                                                   "
6.06	4086	"WESTGATE SEC 15,18,19                                                                                                   "
7	0	WHEATSTN VLG 0.00                                                                                                       
7.01	4013	"WHEATSTN VLG COPPERCRK 1,2,R/P                                                                                          "
8	4023	AUTUMN RUN SEC. 1                                                                                                       
8.01	4023	AUTUMN RUN SEC. 3                                                                                                       
8.02	4023	"AUTUMN RUN SEC. 1 PT,R/P                                                                                                "
8.03	4023	AUTUMN RUN SEC 3 YR>90                                                                                                  
8.04	4023	AUTUMN RUN 2 R/P                                                                                                        
9	4023	NORTH GLEN                                                                                                              
9.01	4023	NORTHGLEN SEC 3 R/P                                                                                                     
9.05	4085	WHEATSTONE ESTATE 1 & 2                                                                                                 
10	0	ROLLING CREEK 0.00                                                                                                      
10.01	4139	ROLLING CREEK 1/GRAND OAKS                                                                                              
10.02	4028	BERKSHIRE SEC 1                                                                                                         
10.03	4028	"BERKSHIRE SEC 2,5,6,8                                                                                                   "
10.04	4028	"BERKSHIRE SEC 3,4                                                                                                       "
10.05	4013	WHEATSTONE VILLAGE CLOVERFIELD                                                                                          
10.06	4028	"BERKSHIRE SEC 7,10                                                                                                      "
10.07	4028	BERKSHIRE SEC 9                                                                                                         
10.08	4028	"BERKSHIRE PLACE SEC 1,2,3,4,5                                                                                           "
10.1	4139	GRAND OAKS THE PRESERVE                                                                                                 
10.11	4139	GRAND OAKS SEC 3                                                                                                        
10.12	4139	GRAND OAKS SEC 4                                                                                                        
10.13	4139	GRAND OAKS SEC 2                                                                                                        
10.14	4139	GRAND OAKS SEC 10 & 11                                                                                                  
11	4023	STONE CREEK SEC. 1-4                                                                                                    
11.03	4118	VILLAGES OF LANGHAM CREEK 1 AMND & 4-7                                                                                  
11.04	4028	VILLAGES OF LANGHAM CREEK 1                                                                                             
11.05	4028	"CROSSING @ STONE CREEK SEC 1,3,4                                                                                        "
11.06	4028	WESTMINISTER VILLAGE SEC 3                                                                                              
11.07	4028	"VILLAGES OF LANGHAM CREEK EST. SEC 1, 2                                                                                 "
11.08	4118	NORTH ENCLAVE @ WESTMINSTER VILLAGE                                                                                     
12	4152	"SOMMERALL 1,2,3,4                                                                                                       "
12.01	4054	"SOMERALL WEST SEC. 1,3                                                                                                  "
12.02	4085	COPPERFIELD WESTCREEK VLG 6                                                                                             
12.04	4054	"WINDSTONE COLONY SEC 2,4,9                                                                                              "
12.05	4054	"WINDSTONE COLONY SEC 6,7                                                                                                "
12.06	4054	"WINDSTONE COLONY SOUTH 1, 1 PAR R/P                                                                                     "
12.07	4054	"WINDSTONE COLONY SOUTH SEC 2,3,5                                                                                        "
12.1	4054	"RICEWOOD VILLAGE SEC 1-4, 6-8                                                                                           "
12.11	4054	"RICEWOOD VILLAGE SEC 1,3,5,9-11 LRG LTS                                                                                 "
12.2	4054	WESTFIELD RANCH SEC. 1                                                                                                  
13	4054	WESTFIELD VILLAGE                                                                                                       
13.01	4054	WESTFIELD PINE SEC. 1                                                                                                   
13.02	4054	WESTFIELD PINES SEC 2                                                                                                   
13.04	4054	"WESTFIELD PINE 1, 2ND PAR R/P                                                                                           "
14	4103	HOUSTON HOT WELLS                                                                                                       
15	4027	CYPRESS MEADOWS                                                                                                         
15.01	4027	"CYPRESS MEADOWS SEC 5,6                                                                                                 "
15.09	4029	WINDSONG PLACE                                                                                                          
16	4098	"WINDSONG SEC. 1,2                                                                                                       "
16.01	4016	WEST GLEN SMALL LOTS                                                                                                    
16.02	4101	WEST GLEN                                                                                                               
16.03	4029	WINDSONG SEC 3                                                                                                          
16.04	4029	WINDSONG SEC 4                                                                                                          
16.07	4028	WESTMINSTER VILLAGE 1 & 2                                                                                               
16.08	4054	COVENTRY MEADOWS                                                                                                        
16.09	4106	LISMORE LAKE ESTATES                                                                                                    
16.1	4106	LAKE ESTATES ON NORTH ELDRIDGE                                                                                          
17	4016	"GLENCAIRN SEC. 5,6                                                                                                      "
17.02	4016	"GLENCAIRN SEC. 3,4                                                                                                      "
17.03	4016	"GLENCAIRN SEC. 1,2                                                                                                      "
17.04	4016	GLENCAIRN VILLAGE                                                                                                       
17.06	4101	BROOKHOLLOW CROSSING SEC 1                                                                                              
17.07	4118	BROOKHOLLOW COURT SEC 1                                                                                                 
18	4136	CLAY MEADOWS                                                                                                            
19	4052	DEERFIELD VILLAGE                                                                                                       
19.01	4052	"DEERFIELD VILLAGE SEC. 6, PT. SEC 5                                                                                     "
19.02	4052	DEERFIELD VILLAGE SEC. 8                                                                                                
19.04	4052	LAKES OF PINE FOREST 1- 6                                                                                               
19.05	4052	"PINE FOREST GREEN SEC 1,2                                                                                               "
19.06	4052	PINE FOREST LANDING                                                                                                     
20	4052	"DEERFIELD VILLAGE PATIO #1,2                                                                                            "
20.02	4085	"SHEFFIELD 1,SHEFFIELD EST 2                                                                                             "
21	4018	COPPERFIELD MIDDLEGATE VLG #1                                                                                           
21.01	4085	COPPERFIELD WESTCREEK VILG 4                                                                                            
21.02	4085	COPPERFIELD WESTCREEK SEC 5                                                                                             
21.03	4085	COPPERFIELD WESTCREEK SEC 7                                                                                             
21.04	4085	"COPPER LAKES SEC 1,4,5                                                                                                  "
21.05	4086	"COPPER LAKES SEC 2,3,6,7,8,12                                                                                           "
21.06	4085	COPPERLAKES 3 R/P                                                                                                       
21.08	4085	BROOKSIDE COURT                                                                                                         
21.09	4086	COPPER LAKES SEC 14                                                                                                     
21.1	4086	"COPPER LAKES SEC 13,15, 16                                                                                              "
21.11	4085	COPPER LAKES SEC 17                                                                                                     
22	4019	COPPERFIELD NORTHMEAD VLG #1                                                                                            
22.01	4019	COPPERFIELD NORTHMEAD VLG #2                                                                                            
22.02	4018	COPPERFLD MIDDLEGATE VLG #2-4                                                                                           
22.03	4018	"COPPERFLD SCREEK VLG 2,1 PT RP                                                                                          "
22.04	4018	COPPERFIELD SOUTHCREEK VLG 3-4                                                                                          
22.05	4088	"COPPERFLD SCREEK VLG #5,7,10                                                                                            "
22.06	4088	COPPERFIELD SOUTHCREEK VLG #11                                                                                          
22.07	4088	"COPPERFIELD SOUTHCREEK VLG 8,9                                                                                          "
22.09	4130	"COPPERFIELD PLACE VILLAG 1,2                                                                                            "
23	4003	"COPPERFIELD SOUTHDOWN VLG 1,2                                                                                           "
23.01	4003	COPPERFIELD SOUTHDOWN VLG 3-8                                                                                           
23.03	4019	COPPERFIELD SOUTHCREEK VLG #1                                                                                           
23.06	4019	COPPERFIELD NTHMD VLG #1                                                                                                
23.07	4018	COPPERFIELD ND SEC. 3-R/P                                                                                               
23.08	4085	"COPPERFIELD W.CREEK VIL #1,2                                                                                            "
23.09	4086	COPPERFIELD WESTCREEK VLG 3                                                                                             
24	4130	"COPPERFEILD PLACE VLG 3,4,5                                                                                             "
24.01	4030	LANGHAM CREEK COLONY T/H 2                                                                                              
24.02	4034	"LANGHAM CREEK COL T/H R/P #1,2                                                                                          "
24.03	4086	COPPER VILLAGE SEC 1 & 2                                                                                                
24.04	4040	LANGHAM CREEK COLONY 2                                                                                                  
24.05	4065	COPPER GROVE 1/CHATHAM OAKS                                                                                             
24.06	4107	COPPER GROVE 1/WOODFIELD PLACE                                                                                          
24.07	4107	COPPERBROOK 1                                                                                                           
24.08	4065	"COPPER GROVE 2,3                                                                                                        "
24.1	4107	HANOVER SEC 1                                                                                                           
24.11	4107	VILLAGES AT HANOVER                                                                                                     
25	4011	BARWOOD                                                                                                                 
25.01	4065	"COPPER GROVE 4,2ND AMEND                                                                                                "
25.02	4065	"COPPER GROVE 1,PAR R/P                                                                                                  "
25.03	4107	"COPPERBROOK 2,3,4,5                                                                                                     "
25.04	4086	COPPER VILLAGE 3-7                                                                                                      
25.05	4065	COPPER GROVE 5                                                                                                          
25.06	4065	COPPER GROVE SEC 7-9                                                                                                    
25.07	4065	COPPER GROVE SEC 6                                                                                                      
25.08	4086	"COPPER VILLAGE SEC 9,10                                                                                                 "
25.09	4065	CYPRESS FALLS ESTATES 1                                                                                                 
26	4012	BERNADINE ESTATES                                                                                                       
26.01	4085	COPPER LAKES PT SEC 10                                                                                                  
26.02	4085	COPPER LAKES SEC 8                                                                                                      
26.03	4085	"COPPER LAKES SEC 10,11                                                                                                  "
27	4012	BEINHORN TERRACE                                                                                                        
27.06	4085	"LONE OAK VILLAGE SEC 1,2,3                                                                                              "
27.07	4085	"LONE OAK VILLAGE SEC 4,5                                                                                                "
28	4012	"TOWER OAKS SEC. 1,2                                                                                                     "
29	4012	MOSSY OAKS                                                                                                              
30	4043	PINES & OAKS                                                                                                            
31	4043	TIMBER MANOR                                                                                                            
32	0	TOWER OAKS 0.00                                                                                                         
32.01	4043	TOWER OAKS BEND                                                                                                         
32.02	4043	"TOWER OAK BENDD, YR BLT>90                                                                                              "
33	4062	CYPRESS CREEK ESTATES                                                                                                   
34	4062	DOWDELL WOODS/JEFFERSON OAKS                                                                                            
34.01	4106	SIGNATURE ESTATES                                                                                                       
34.02	4048	MANN ESTATES                                                                                                            
35	4001	CYPRESS CROSSING                                                                                                        
36	4069	"TOWER OAKS PLAZA A&B 1,2,3,4,5                                                                                          "
37	4044	GRANTWOOD 1                                                                                                             
37.01	4057	OAK HOLLOW ESTATES                                                                                                      
37.02	4044	GRANTWOOD 2 U/R                                                                                                         
38	4048	HASTING GREENS SEC. 1 & 2                                                                                               
38.01	4021	VILLAGES OF CYPRESS LAKES #1                                                                                            
38.02	4021	"VILLAGES OF CYPRESS LAKES 2,3,21,22,25                                                                                  "
38.03	4021	"VILLAGES OF CYPRESS LAKES 4,5                                                                                           "
38.04	4021	VILLAGES OF CYPRESS LAKES 7                                                                                             
38.05	4021	"CYPRESS RIDGE SEC 1,2,5                                                                                                 "
38.06	4021	"CYPRESS RIDGE SEC 3,4                                                                                                   "
38.07	4021	VILLAGES OF CYPRESS LAKES SEC 9                                                                                         
38.08	4021	"VILLAGES OF CYPRESS LAKES SEC 10,13,16                                                                                  "
38.09	4021	"VILLAGES OF CYPRESS LKS 11,15,17,20,24,26,28,30,31                                                                      "
38.1	4021	"VILLAGES OF CYPRESS LAKES SEC 12,14                                                                                     "
